iter	Logloss
0	0.6361963662
1	0.5951326466
2	0.5625077547
3	0.539111373
4	0.5189351925
5	0.5053698176
6	0.4917270088
7	0.4787096802
8	0.4693234472
9	0.4604758493
10	0.452802781
11	0.4461693745
12	0.4415891583
13	0.436628711
14	0.4320691915
15	0.4299808647
16	0.4266910534
17	0.4230317937
18	0.4187112943
19	0.4159182101
20	0.4133177538
21	0.411721636
22	0.4105033278
23	0.4090120457
24	0.4081138543
25	0.4069596388
26	0.4046007204
27	0.4041787548
28	0.4033401397
29	0.4014947933
30	0.3999199809
31	0.3989933322
32	0.3983296054
33	0.3973685485
34	0.3962962444
35	0.3960482319
36	0.395706769
37	0.3948493463
38	0.3944798385
39	0.3932382641
40	0.393095501
41	0.3920414774
42	0.3915754413
43	0.3915695018
44	0.3906349051
45	0.3901084448
46	0.3887766403
47	0.3886078939
48	0.3885174049
49	0.388156266
50	0.3881527866
51	0.387828283
52	0.3877121671
53	0.3876858111
54	0.3868358959
55	0.386835512
56	0.3867281398
57	0.3861449259
58	0.3852607256
59	0.3847555357
60	0.3836961341
61	0.3834095462
62	0.3828308302
63	0.3826234755
64	0.3822921556
65	0.3815076525
66	0.3807201624
67	0.3801340225
68	0.3798060216
69	0.3793931184
