iter	Passed	Remaining
0	41	2886
1	80	2724
2	118	2649
3	161	2663
4	204	2661
5	229	2442
6	271	2439
7	316	2454
8	336	2282
9	374	2247
10	421	2261
11	466	2256
12	505	2216
13	531	2124
14	575	2108
15	588	1986
16	634	1977
17	672	1943
18	717	1925
19	789	1973
20	834	1947
21	878	1917
22	904	1848
23	947	1816
24	995	1792
25	1041	1762
26	1086	1730
27	1111	1667
28	1153	1631
29	1198	1597
30	1246	1567
31	1289	1530
32	1332	1493
33	1375	1456
34	1417	1417
35	1448	1368
36	1490	1329
37	1535	1293
38	1571	1249
39	1615	1211
40	1634	1155
41	1676	1117
42	1718	1079
43	1749	1033
44	1798	999
45	1883	982
46	1955	956
47	2012	922
48	2055	880
49	2097	839
50	2110	786
51	2152	745
52	2177	698
53	2196	650
54	2237	610
55	2250	562
56	2286	521
57	2328	481
58	2370	441
59	2415	402
60	2459	362
61	2501	322
62	2545	282
63	2587	242
64	2629	202
65	2675	162
66	2718	121
67	2760	81
68	2803	40
69	2845	0
